experiment,dataset,strategy,extractor,clf,mean_f1,std_f1,n_samples,emb_dim
Exp3_concat_prefix,FMD,k=12,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.9400518463327072,0.0155571588245533,n/a,8748
Exp3_concat_prefix,FMD,k=12,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.8766266919656621,0.0187219020400598,n/a,8748
Exp3_concat_prefix,FMD,k=12,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.8793799180595793,0.0116909551661263,n/a,8748
Exp3_concat_prefix,KTH-TIPS2,k=1,lbp,svm,0.4877252216252635,0.0089103777853296,n/a,54
Exp3_concat_prefix,KTH-TIPS2,k=1,lbp,knn,0.8822630036704855,0.011302383040378,n/a,54
Exp3_concat_prefix,KTH-TIPS2,k=1,lbp,rf,0.922858397898494,0.0077201417965621,n/a,54
Exp3_concat_prefix,KTH-TIPS2,k=2,lbp + glcm,svm,0.514969088380689,0.0118655988879812,n/a,72
Exp3_concat_prefix,KTH-TIPS2,k=2,lbp + glcm,knn,0.9055791773587242,0.00758190544832,n/a,72
Exp3_concat_prefix,KTH-TIPS2,k=2,lbp + glcm,rf,0.9396791883448652,0.0059054629273658,n/a,72
Exp3_concat_prefix,KTH-TIPS2,k=3,lbp + glcm + gabor,svm,0.6268901116739845,0.0066742593317844,n/a,120
Exp3_concat_prefix,KTH-TIPS2,k=3,lbp + glcm + gabor,knn,0.9237502830978512,0.012569415670313,n/a,120
Exp3_concat_prefix,KTH-TIPS2,k=3,lbp + glcm + gabor,rf,0.9603436693873176,0.002922245591129,n/a,120
Exp3_concat_prefix,KTH-TIPS2,k=4,lbp + glcm + gabor + hog,svm,0.7633208669720302,0.0079659515434366,n/a,1884
Exp3_concat_prefix,KTH-TIPS2,k=4,lbp + glcm + gabor + hog,knn,0.811379713226134,0.0055363013499436,n/a,1884
Exp3_concat_prefix,KTH-TIPS2,k=4,lbp + glcm + gabor + hog,rf,0.921719405866694,0.0068917781633878,n/a,1884
Exp3_concat_prefix,KTH-TIPS2,k=5,lbp + glcm + gabor + hog + drlbp,svm,0.7855796098723752,0.0092231442883801,n/a,1964
Exp3_concat_prefix,KTH-TIPS2,k=5,lbp + glcm + gabor + hog + drlbp,knn,0.8239626885758484,0.0098443322809544,n/a,1964
Exp3_concat_prefix,KTH-TIPS2,k=5,lbp + glcm + gabor + hog + drlbp,rf,0.935586433741711,0.0061166291783706,n/a,1964
Exp3_concat_prefix,KTH-TIPS2,k=6,lbp + glcm + gabor + hog + drlbp + resnet50,svm,0.9908988821751056,0.0019769913227251,n/a,4012
Exp3_concat_prefix,KTH-TIPS2,k=6,lbp + glcm + gabor + hog + drlbp + resnet50,knn,0.996666560794996,0.0023418378000439,n/a,4012
Exp3_concat_prefix,KTH-TIPS2,k=6,lbp + glcm + gabor + hog + drlbp + resnet50,rf,0.9900857229855864,0.0022342376565609,n/a,4012
Exp3_concat_prefix,KTH-TIPS2,k=7,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.9995518496118344,0.0005490648774389,n/a,4780
Exp3_concat_prefix,KTH-TIPS2,k=7,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.9988731151240934,0.0014339931913719,n/a,4780
Exp3_concat_prefix,KTH-TIPS2,k=7,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.9982370159755618,0.0011245029048608,n/a,4780
Exp3_concat_prefix,KTH-TIPS2,k=8,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.9997805517273288,0.0004388965453422,n/a,6060
Exp3_concat_prefix,KTH-TIPS2,k=8,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.9993416551819866,0.0013166896360266,n/a,6060
Exp3_concat_prefix,KTH-TIPS2,k=8,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.9984475589450724,0.0008886380366462,n/a,6060
Exp3_concat_prefix,KTH-TIPS2,k=9,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.9997805517273288,0.0004388965453422,n/a,6828
Exp3_concat_prefix,KTH-TIPS2,k=9,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.9997805517273288,0.0004388965453422,n/a,6828
Exp3_concat_prefix,KTH-TIPS2,k=9,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.9982197562909658,0.0009030345436344,n/a,6828
Exp3_concat_prefix,KTH-TIPS2,k=10,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.9997805517273288,0.0004388965453422,n/a,7596
Exp3_concat_prefix,KTH-TIPS2,k=10,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.9997805517273288,0.0004388965453422,n/a,7596
Exp3_concat_prefix,KTH-TIPS2,k=10,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.9988798619703444,0.0007115316931988,n/a,7596
Exp3_concat_prefix,KTH-TIPS2,k=11,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.9997805517273288,0.0004388965453422,n/a,7980
Exp3_concat_prefix,KTH-TIPS2,k=11,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.9997805517273288,0.0004388965453422,n/a,7980
Exp3_concat_prefix,KTH-TIPS2,k=11,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.9993401703844498,0.0005387525295058,n/a,7980
Exp3_concat_prefix,KTH-TIPS2,k=12,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,svm,0.9997805517273288,0.0004388965453422,n/a,8748
Exp3_concat_prefix,KTH-TIPS2,k=12,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,knn,0.9997805517273288,0.0004388965453422,n/a,8748
Exp3_concat_prefix,KTH-TIPS2,k=12,lbp + glcm + gabor + hog + drlbp + resnet50 + conv,rf,0.999329487936418,0.0008991629506585,n/a,8748
Exp3_concat_prefix,HVD_glaucoma,k=1,lbp,svm,0.4197891406068171,0.011508132538197,n/a,54
Exp3_concat_prefix,HVD_glaucoma,k=1,lbp,knn,0.554152657407536,0.0115807245526233,n/a,54
Exp3_concat_prefix,HVD_glaucoma,k=1,lbp,rf,0.5834963437479014,0.0334398070033498,n/a,54
Exp3_concat_prefix,HVD_glaucoma,k=2,lbp + glcm,svm,0.4274009611290721,0.0084284322248665,n/a,72
Exp3_concat_prefix,HVD_glaucoma,k=2,lbp + glcm,knn,0.5619413333346529,0.0086770561875011,n/a,72
Exp3_concat_prefix,HVD_glaucoma,k=2,lbp + glcm,rf,0.5804342762217164,0.0318141479138196,n/a,72
Exp3_concat_prefix,HVD_glaucoma,k=3,lbp + glcm + gabor,svm,0.456492151139323,0.0148765291666552,n/a,120
Exp3_concat_prefix,HVD_glaucoma,k=3,lbp + glcm + gabor,knn,0.5590375421605155,0.0296630610331853,n/a,120
Exp3_concat_prefix,HVD_glaucoma,k=3,lbp + glcm + gabor,rf,0.6104607928290416,0.0255992398435694,n/a,120
Exp3_concat_prefix,HVD_glaucoma,k=4,lbp + glcm + gabor + hog,svm,0.5113113298463356,0.0167088813124405,n/a,1884
Exp3_concat_prefix,HVD_glaucoma,k=4,lbp + glcm + gabor + hog,knn,0.5848633914644765,0.0306613720576615,n/a,1884
Exp3_concat_prefix,HVD_glaucoma,k=4,lbp + glcm + gabor + hog,rf,0.5516630603141793,0.0293437889028635,n/a,1884
Exp3_concat_prefix,HVD_glaucoma,k=5,lbp + glcm + gabor + hog + drlbp,svm,0.5156927350520791,0.0218544466830743,n/a,1964
Exp3_concat_prefix,HVD_glaucoma,k=5,lbp + glcm + gabor + hog + drlbp,knn,0.5844693968331276,0.026462494385024,n/a,1964
Exp3_concat_prefix,HVD_glaucoma,k=5,lbp + glcm + gabor + hog + drlbp,rf,0.5525735131148659,0.0232277950403095,n/a,1964
Exp3_concat_prefix,HVD_glaucoma,k=6,lbp + glcm + gabor + hog + drlbp + resnet50,svm,0.6880444129710719,0.0178900935556705,n/a,4012
