dataset,extractors,clf,mean_f1,std_f1,single_dim,k,concat_dim
FMD,['convnext_v2_t'],rf,0.8474787175570231,0.0268741713669428,768,1,768
FMD,['efficientnet_b0'],svm,0.8438814908471912,0.0271110134745297,1280,1,1280
FMD,['efficientnet_b0'],knn,0.7913620142238107,0.0122315132361884,1280,1,1280
FMD,['efficientnet_b0'],rf,0.783013584722743,0.0258514058027271,1280,1,1280
FMD,['lbp'],svm,0.3060573126538599,0.0140396002774921,54,1,54
FMD,['lbp'],knn,0.2459982946560048,0.0116742472436962,54,1,54
FMD,['lbp'],rf,0.3183169461951649,0.0255532584246759,54,1,54
FMD,['glcm'],svm,0.1378228458521082,0.0258607356897446,18,1,18
FMD,['glcm'],knn,0.1684309998247279,0.0186621367220071,18,1,18
FMD,['glcm'],rf,0.2072048274335616,0.0134223008435945,18,1,18
FMD,['gabor'],svm,0.1622032327603282,0.0181609617967898,48,1,48
FMD,['gabor'],knn,0.2500638758105994,0.0278617018603363,48,1,48
FMD,['gabor'],rf,0.3169100049173076,0.0362590269306292,48,1,48
FMD,['hog'],svm,0.270458440384702,0.0329911003144033,1764,1,1764
FMD,['hog'],knn,0.1291726269877469,0.0243651416095286,1764,1,1764
FMD,['hog'],rf,0.2412230432121823,0.0127454750777604,1764,1,1764
FMD,['drlbp'],svm,0.2566382919781408,0.0263437330000393,80,1,80
FMD,['drlbp'],knn,0.2436614901918467,0.0173237452070813,80,1,80
FMD,['drlbp'],rf,0.2630921834654146,0.0282114247361697,80,1,80
ocular_toxoplasmosis,['vit_b16'],svm,0.7797482012762315,0.0610846426552764,768,1,768
ocular_toxoplasmosis,['vit_b16'],knn,0.737547374326637,0.0357766223959707,768,1,768
ocular_toxoplasmosis,['vit_b16'],rf,0.7315718667442913,0.0502086513269109,768,1,768
ocular_toxoplasmosis,['swin_t'],svm,0.82223721221111,0.0387036769303464,768,1,768
ocular_toxoplasmosis,['swin_t'],knn,0.756655316287179,0.0439632699385029,768,1,768
ocular_toxoplasmosis,['swin_t'],rf,0.7622385684431311,0.0397809990183382,768,1,768
ocular_toxoplasmosis,['deit_s'],svm,0.7844657786146387,0.0489430599295935,384,1,384
ocular_toxoplasmosis,['deit_s'],knn,0.7110520526409583,0.0180061857851376,384,1,384
ocular_toxoplasmosis,['deit_s'],rf,0.7247805371218092,0.0398873370757084,384,1,384
ocular_toxoplasmosis,['dinov2'],svm,0.8243002328698712,0.0339888712668658,768,1,768
ocular_toxoplasmosis,['dinov2'],knn,0.793318354985354,0.0396267281097537,768,1,768
